epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,409.202,1.49908,2.48946,1.7402,0.3131,0.1528,0.19417,0.0973,1.7181,3.13898,2.13458,0.00058,0.00058,0.00058
2,798.095,1.60495,2.05455,1.78589,0.45476,0.28492,0.33763,0.15314,1.70614,2.9177,2.33539,0.00110212,0.00110212,0.00110212
3,1183.21,1.61551,1.99833,1.79712,0.30944,0.27933,0.21701,0.09515,2.15855,3.31556,3.12757,0.00154504,0.00154504,0.00154504
4,1568.99,1.6336,1.93018,1.84006,0.16472,0.27933,0.11643,0.0339,2.37263,4.96137,3.62867,0.001604,0.001604,0.001604
5,1954.45,1.61083,1.90715,1.80733,0.39025,0.37989,0.31719,0.11817,1.9615,2.90723,2.68739,0.001472,0.001472,0.001472
6,2337.02,1.64051,1.90666,1.95522,0.21678,0.36313,0.19294,0.07041,2.04561,3.94169,2.91632,0.00134,0.00134,0.00134
7,2719.88,1.52612,1.74685,1.8978,0.17049,0.26257,0.10025,0.03239,2.60248,3.60117,3.47653,0.001208,0.001208,0.001208
8,3103.64,1.47966,1.56403,1.82326,0.60876,0.61453,0.60568,0.33654,1.56586,1.62069,2.02865,0.001076,0.001076,0.001076
9,3486.26,1.43842,1.47075,1.74659,0.67334,0.63687,0.70413,0.40249,1.47511,1.5962,1.89305,0.000944,0.000944,0.000944
10,3867.56,1.37552,1.39441,1.72259,0.81117,0.73184,0.82659,0.53313,1.2859,1.25029,1.72318,0.000812,0.000812,0.000812
11,4249.04,1.28057,1.29631,1.6353,0.72236,0.77036,0.82215,0.55904,1.16577,1.12561,1.57319,0.00068,0.00068,0.00068
12,4631.18,1.24472,1.20788,1.57627,0.83695,0.73743,0.87361,0.60907,1.13129,0.95466,1.53337,0.000548,0.000548,0.000548
13,5014.76,1.21285,1.13548,1.53824,0.85687,0.78212,0.88306,0.61433,1.1001,0.9524,1.50148,0.000416,0.000416,0.000416
14,5397.07,1.16006,1.05853,1.50382,0.85982,0.82682,0.89761,0.62533,1.05533,0.87331,1.46424,0.000284,0.000284,0.000284
15,5777.77,1.08478,0.98976,1.42725,0.87209,0.838,0.90261,0.65558,1.0102,0.85548,1.42882,0.000152,0.000152,0.000152
